trade_date,ts_code,name,market,exchange,industry,sig_ma,sig_macd,sig_rsi,sig_kdj,sig_boll,close,ma_bfq_5,ma_bfq_10,macd_dif_bfq,macd_dea_bfq,macd_bfq,rsi_bfq_6,rsi_bfq_12,kdj_k_bfq,kdj_d_bfq,boll_mid_bfq
20260128,300211.SZ,*ST亿通,创业板,SZSE,通信设备,1,1,1,1,1,9.0,9.144,9.1,0.122,0.134,-0.025,39.345,51.244,42.56421,50.2878,9.05
20260128,605398.SH,新炬网络,主板,SSE,软件服务,1,1,1,1,1,30.81,31.638,31.623,0.491,0.548,-0.114,39.349,48.446,30.43403,34.24326,31.106
20260128,002152.SZ,广电运通,主板,SZSE,IT设备,1,1,1,1,1,13.26,13.464,13.524,0.154,0.238,-0.168,39.388,47.793,27.22613,30.91715,13.604
20260128,000036.SZ,华联控股,主板,SZSE,全国地产,1,1,1,1,1,6.05,6.472,6.384,0.14,0.256,-0.233,39.4,46.149,40.45043,43.61873,6.512
20260128,301238.SZ,瑞泰新材,创业板,SZSE,化工原料,1,1,1,1,1,21.36,21.876,21.91,0.187,0.21,-0.047,39.403,47.042,46.98036,55.82048,21.664
20260128,920592.BJ,华信永道,北交所,BSE,软件服务,1,1,1,1,1,40.33,40.696,41.254,-0.233,0.001,-0.469,39.413,44.654,12.89327,15.50317,41.518
20260128,601116.SH,三江购物,主板,SSE,超市连锁,1,1,1,1,1,16.07,16.668,17.51,0.396,0.616,-0.44,39.454,46.92,11.70664,22.88146,16.681
20260128,600718.SH,东软集团,主板,SSE,软件服务,1,1,1,1,1,11.11,11.258,11.384,0.255,0.318,-0.127,39.465,52.025,18.78436,26.76497,11.148
20260128,688088.SH,虹软科技,科创板,SSE,软件服务,1,1,1,1,1,52.92,54.016,55.224,1.096,1.609,-1.027,39.468,48.167,20.54834,29.59787,54.369
20260128,300406.SZ,九强生物,创业板,SZSE,医疗保健,1,1,1,1,1,13.89,14.248,14.271,0.192,0.214,-0.044,39.49,47.609,22.5375,31.03156,14.022
20260128,002570.SZ,贝因美,主板,SZSE,乳制品,1,1,1,1,1,6.16,6.19,6.258,-0.006,0.006,-0.024,39.495,45.425,20.39067,30.54987,6.221
20260128,300253.SZ,卫宁健康,创业板,SZSE,软件服务,1,1,1,1,1,11.15,11.6,11.911,0.648,0.824,-0.351,39.551,50.557,10.92456,21.6459,11.299
20260128,605099.SH,共创草坪,主板,SSE,文教休闲,1,1,1,1,1,39.14,40.32,41.518,1.04,1.261,-0.443,39.558,48.509,24.61361,43.32212,39.269
20260128,003021.SZ,兆威机电,主板,SZSE,元器件,1,1,1,1,1,123.04,125.358,126.82,2.754,3.788,-2.068,39.574,49.665,33.12373,41.49793,125.809
20260128,688590.SH,新致软件,科创板,SSE,软件服务,1,1,1,1,1,21.04,21.594,21.871,0.657,0.815,-0.317,39.597,50.346,16.59645,24.34232,21.245
20260128,688136.SH,科兴制药,科创板,SSE,生物制药,1,1,1,1,1,33.47,34.346,34.263,0.232,0.255,-0.045,39.6,45.819,31.36551,36.73238,34.141
20260128,688151.SH,华强科技,科创板,SSE,医疗保健,1,1,1,1,1,21.04,21.37,21.269,0.247,0.281,-0.069,39.637,50.554,48.24606,53.13507,21.165
20260128,600872.SH,中炬高新,主板,SSE,食品,1,1,1,1,1,17.69,17.81,17.927,0.053,0.094,-0.082,39.646,46.363,31.08667,39.78596,17.879
20260128,603000.SH,人民网,主板,SSE,互联网,1,1,1,1,1,23.08,24.236,25.272,1.142,1.387,-0.489,39.679,49.361,16.92206,30.96243,23.384
20260128,300081.SZ,恒信东方,创业板,SZSE,文教休闲,1,1,1,1,1,5.55,5.63,5.657,0.006,0.023,-0.034,39.681,46.632,23.40657,30.62562,5.625
20260128,300016.SZ,北陆药业,创业板,SZSE,化学制药,1,1,1,1,1,9.08,9.326,9.301,0.232,0.271,-0.078,39.704,50.45,24.31733,30.02791,9.18
20260128,002960.SZ,青鸟消防,主板,SZSE,专用机械,1,1,1,1,1,11.13,11.416,11.348,0.126,0.137,-0.021,39.71,47.997,51.78159,61.91346,11.236
20260128,920198.BJ,微创光电,北交所,BSE,IT设备,1,1,1,1,1,10.53,10.678,10.75,0.065,0.135,-0.14,39.748,46.727,25.31144,28.55297,10.784
20260128,300982.SZ,苏文电能,创业板,SZSE,建筑工程,1,1,1,1,1,21.75,21.956,22.225,0.373,0.588,-0.43,39.753,49.326,25.53414,27.0833,22.288
20260128,002655.SZ,共达电声,主板,SZSE,元器件,1,1,1,1,1,13.03,13.282,13.206,0.146,0.156,-0.019,39.756,49.524,52.42818,62.85056,13.104
20260128,600558.SH,大西洋,主板,SSE,钢加工,1,1,1,1,1,6.35,6.486,6.459,0.128,0.159,-0.061,39.763,50.771,35.58364,41.18257,6.408
20260128,301419.SZ,阿莱德,创业板,SZSE,通信设备,1,1,1,1,1,34.1,34.93,35.0,0.354,0.462,-0.217,39.8,46.935,47.06022,54.56281,34.697
20260128,000516.SZ,国际医学,主板,SZSE,医疗保健,1,1,1,1,1,4.99,5.104,5.158,0.089,0.128,-0.078,39.823,48.104,15.7816,20.56777,5.109
